Row_number	Gene_Name	File_Location
116	group_13620	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL116
117	group_13599	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL117
118	group_13598	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL118
119	group_13574	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL119
120	padR	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL120
121	group_13481	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL121
122	group_13480	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL122
123	group_13477	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL123
124	group_13451	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL124
125	group_13450	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL125
126	yajC	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL126
127	group_13432	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL127
128	group_13379	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL128
129	group_13378	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL129
130	group_13360	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL130
131	ftsL	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL131
132	group_13296	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL132
133	group_13288	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL133
134	group_13286	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL134
135	group_13285	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL135
136	group_13284	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL136
137	group_13283	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL137
138	group_13236	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL138
139	rsfS	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL139
140	group_13205	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL140
141	group_13173	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL141
142	group_13091	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL142
143	group_13060	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL143
144	group_13058	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL144
145	dksA	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL145
146	group_13036	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL146
147	group_12986	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL147
148	group_12960	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL148
149	group_12939	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL149
150	group_12919	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL150
151	group_12904	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL151
152	group_12860	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL152
153	group_12788	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL153
154	ybeY	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL154
155	group_12731	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL155
156	group_12713	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL156
157	group_12683	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL157
158	group_12655	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL158
159	group_12654	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL159
160	group_12593	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL160
161	group_12586	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL161
162	group_12585	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL162
163	group_12583	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL163
164	group_12582	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL164
165	group_12552	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL165
166	group_12498	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL166
167	paaI	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL167
168	group_12496	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL168
169	group_12475	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL169
170	group_12474	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL170
171	group_12446	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL171
172	group_12442	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL172
173	group_12414	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL173
174	group_12375	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL174
175	group_12344	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL175
176	group_12327	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL176
177	group_12295	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL177
178	group_12294	/Users/sanchezh/Desktop/tombombadil/TOMBOMBADIL178
